keyword,score,category
최고/Noun,13.28689501,가격/청결/위치/교통/부대시설/서비스/객실/조망
다만/Noun,12.73874417,
만족했습니다/Adjective,8.718924294,가격/청결/위치/교통/부대시설/서비스/객실/조망
좋았습니다/Adjective,8.640244721,가격/청결/위치/교통/부대시설/서비스/객실/조망
좋았어요/Adjective,8.349875113,가격/청결/위치/교통/부대시설/서비스/객실/조망
살짝/Noun,7.967780711,
넓고/Adjective,7.906067617,부대시설/객실
잘/VerbPrefix,7.877101438,기타
만족합니다/Adjective,7.807035246,가격/청결/위치/교통/부대시설/서비스/객실/조망
깨끗/Noun,7.361643521,청결/객실
좋았는데/Adjective,7.358504846,가격/청결/위치/교통/부대시설/서비스/객실/조망
깔끔하고/Adjective,7.249675897,청결
갑/Noun,6.999977508,기타
강력/Noun,6.827766675,기타
항상/Noun,6.821197299,
만족해요/Adjective,6.772441335,가격/청결/위치/교통/부대시설/서비스/객실/조망
ㅎㅎ/KoreanParticle,6.600958882,
깔끔합니다/Adjective,6.505761829,청결/객실
걱정/Noun,6.499333612,
만족스러웠습니다/Adjective,6.361062029,가격/청결/위치/교통/부대시설/서비스/객실/조망
좋네요/Adjective,6.348911868,가격/청결/위치/교통/부대시설/서비스/객실/조망
좋습니다/Adjective,6.31120494,가격/청결/위치/교통/부대시설/서비스/객실/조망
만족스럽습니다/Adjective,6.163530977,가격/청결/위치/교통/부대시설/서비스/객실/조망
편하게/Adjective,6.099804691,위치/교통/부대시설/객실
늘/Noun,6.079564967,
깨끗했어요/Adjective,6.047791084,청결/객실
감동/Noun,6.035323469,부대시설/서비스
최적/Noun,6.012978068,위치/교통/부대시설/서비스/객실
깨끗하고/Adjective,5.989144195,청결
지만/Josa,5.967321497,
굿굿/Noun,5.860897454,가격/청결/위치/교통/부대시설/서비스/객실/조망
좋았고/Adjective,5.78175713,가격/청결/위치/교통/부대시설/서비스/객실/조망
ㅎ/KoreanParticle,5.67136885,
조아요/Adjective,5.624506798,가격/청결/위치/교통/부대시설/서비스/객실/조망
조금/Noun,5.583814793,
친절하시고/Adjective,5.582099631,서비스
깔끔함/Adjective,5.539630003,청결
강추/Noun,5.501848132,가격/청결/위치/교통/부대시설/서비스/객실/조망
깔끔한/Adjective,5.491441675,청결
맛집/Noun,5.486835237,위치/부대시설
만족스러운/Adjective,5.481223375,가격/청결/위치/교통/부대시설/서비스/객실/조망
감사합니다/Verb,5.443966661,서비스
모두/Noun,5.416351444,기타
또/Noun,5.402094909,
만족/Noun,5.397070283,가격/청결/위치/교통/부대시설/서비스/객실/조망
잘/Verb,5.377083483,
역시/Noun,5.368970454,
산책/Noun,5.352196464,위치/부대시설
recommended/Alpha,5.307346333,
깔끔해요/Adjective,5.264617089,청결/객실
즐거운/Adjective,5.241525347,기타
좋았어용/Adjective,5.159364667,가격/청결/위치/교통/부대시설/서비스/객실/조망
훌륭합니다/Adjective,5.139444008,가격/청결/위치/교통/부대시설/서비스/객실/조망
굳/Adjective,5.102514966,가격/청결/위치/교통/부대시설/서비스/객실/조망
부모님/Noun,5.087407256,기타
만족스러/Adjective,5.073748291,가격/청결/위치/교통/부대시설/서비스/객실/조망
꽤/Noun,5.068875313,
해피아워/Noun,5.049013776,부대시설/서비스
가면/Noun,5.046959389,
자주/Noun,5.042560887,
해주셔서/Verb,5.027234933,서비스
좋아요/Adjective,5.025391011,가격/청결/위치/교통/부대시설/서비스/객실/조망
만족한/Adjective,5.0136269,가격/청결/위치/교통/부대시설/서비스/객실/조망
만족스러웠어요/Adjective,5.000457546,가격/청결/위치/교통/부대시설/서비스/객실/조망
좋았네요/Adjective,4.990348753,가격/청결/위치/교통/부대시설/서비스/객실/조망
완벽했습니다/Adjective,4.943705295,가격/청결/위치/교통/부대시설/서비스/객실/조망
참고/Noun,4.881257043,기타
맘/Noun,4.88025291,
좋고/Adjective,4.862391194,가격/청결/위치/교통/부대시설/서비스/객실/조망
감사/Noun,4.860596247,
exceptional/Alpha,4.859276753,
친절했습니다/Adjective,4.820222237,서비스
perfect/Alpha,4.793161499,
이만/Noun,4.789481331,
야경/Noun,4.753263942,조망
superb/Alpha,4.750704826,
깔끔했어요/Adjective,4.732293555,청결/객실
근데/Adverb,4.717742954,
편리한/Adjective,4.676478406,위치/교통/부대시설
!/Punctuation,4.611171124,
좋구요/Adjective,4.605315302,가격/청결/위치/교통/부대시설/서비스/객실/조망
완벽한/Adjective,4.583820412,가격/청결/위치/교통/부대시설/서비스/객실/조망
깔/Verb,4.576597637,
좋았다/Adjective,4.553890252,가격/청결/위치/교통/부대시설/서비스/객실/조망
最高/Foreign,4.515795747,
빼면/Verb,4.440491022,
마음/Noun,4.430443996,
언제나/Adverb,4.37603428,기타
훌륭한/Adjective,4.362424682,가격/청결/위치/교통/부대시설/서비스/객실/조망
만족스러워요/Adjective,4.332048553,가격/청결/위치/교통/부대시설/서비스/객실/조망
깨끗했습니다/Adjective,4.286923563,청결/객실
꿀잠/Noun,4.286890823,객실
무료/Noun,4.266874328,부대시설
외/Noun,4.252653274,
다/Adverb,4.202289179,
덕분/Noun,4.200610829,서비스
최상/Noun,4.184587133,위치/교통/부대시설/서비스/객실/조망
친절하십니다/Adjective,4.15024883,서비스
좋은/Adjective,4.146583881,가격/청결/위치/교통/부대시설/서비스/객실/조망
해주시/Noun,4.117330333,서비스
고급/Noun,4.093831562,부대시설/객실
있지만/Adjective,4.093239834,
amazing/Alpha,4.079887063,
완벽했어요/Adjective,4.053491032,가격/청결/위치/교통/부대시설/서비스/객실/조망
